date,STICKINESS
2022-01-01,40.0000
2022-01-02,30.7692
2022-01-03,56.2500
2022-01-04,21.0526
2022-01-05,27.2727
2022-01-06,16.6667
2022-01-07,9.3750
2022-01-08,25.0000
2022-01-09,18.1818
2022-01-10,5.7143
2022-01-11,5.5556
2022-01-12,2.5641
2022-01-13,9.7561
2022-01-14,11.6279
2022-01-15,4.4444
2022-01-16,6.3830
2022-01-17,3.7037
2022-01-18,16.0714
2022-01-19,10.3448
2022-01-20,8.1967
2022-01-21,7.5758
2022-01-22,11.5942
2022-01-23,6.8493
2022-01-24,5.1282
2022-01-25,8.7500
2022-01-26,4.8780
2022-01-27,3.5714
2022-01-28,3.4483
2022-01-29,5.6180
2022-01-30,2.2222
2022-01-31,2.0833
2022-02-01,8.9109
2022-02-02,10.1010
2022-02-03,7.7670
2022-02-04,11.0000
2022-02-05,6.1856
2022-02-06,3.1915
2022-02-07,0.0000
2022-02-08,7.2917
2022-02-09,7.2165
2022-02-10,4.1237
2022-02-11,2.9412
2022-02-12,4.9020
2022-02-13,2.9703
2022-02-14,3.8835
2022-02-15,4.8544
2022-02-16,4.8077
2022-02-17,0.9901
2022-02-18,1.9802
2022-02-19,4.0816
2022-02-20,2.0408
2022-02-21,2.1053
2022-02-22,5.3763
2022-02-23,3.1579
2022-02-24,6.5934
2022-02-25,3.3708
2022-02-26,2.2472
2022-02-27,2.1978
2022-02-28,4.4444
2022-03-01,7.4468
2022-03-02,7.2917
2022-03-03,3.2609
2022-03-04,3.4091
2022-03-05,6.8966
2022-03-06,3.6585
2022-03-07,3.7500
2022-03-08,3.7037
2022-03-09,5.8824
2022-03-10,8.1395
2022-03-11,4.9383
2022-03-12,3.7975
2022-03-13,1.2987
2022-03-14,1.3333
2022-03-15,2.6667
2022-03-16,4.1096
2022-03-17,1.3514
2022-03-18,5.6338
2022-03-19,2.7397
2022-03-20,3.9474
2022-03-21,6.7568
2022-03-22,5.3333
2022-03-23,5.2632
2022-03-24,1.3514
2022-03-25,4.0000
2022-03-26,4.0541
2022-03-27,5.2632
2022-03-28,7.6923
2022-03-29,6.3291
2022-03-30,5.0633
2022-03-31,1.3158
2022-04-01,4.0000
2022-04-02,7.7922
2022-04-03,8.6420
2022-04-04,8.9744
2022-04-05,2.5000
2022-04-06,4.8193
2022-04-07,7.1429
2022-04-08,3.4884
2022-04-09,6.0241
2022-04-10,3.5294
2022-04-11,4.7059
2022-04-12,5.8824
2022-04-13,2.2727
2022-04-14,3.2967
2022-04-15,5.4348
2022-04-16,4.2105
2022-04-17,5.3191
2022-04-18,4.1237
2022-04-19,7.2917
2022-04-20,3.0928
2022-04-21,3.1250
2022-04-22,2.0619
