date,MAU
2022-01-01,1
2022-01-02,1
2022-01-03,2
2022-01-04,3
2022-01-05,3
2022-01-06,5
2022-01-07,5
2022-01-08,6
2022-01-09,6
2022-01-10,6
2022-01-11,6
2022-01-12,8
2022-01-13,8
2022-01-14,8
2022-01-15,9
2022-01-16,10
2022-01-17,11
2022-01-18,12
2022-01-19,12
2022-01-20,13
2022-01-21,14
2022-01-22,14
2022-01-23,14
2022-01-24,15
2022-01-25,17
2022-01-26,17
2022-01-27,18
2022-01-28,18
2022-01-29,18
2022-01-30,19
2022-01-31,18
2022-02-01,19
2022-02-02,19
2022-02-03,20
2022-02-04,19
2022-02-05,19
2022-02-06,18
2022-02-07,17
2022-02-08,18
2022-02-09,17
2022-02-10,17
2022-02-11,18
2022-02-12,16
2022-02-13,16
2022-02-14,16
2022-02-15,18
2022-02-16,18
2022-02-17,16
2022-02-18,16
2022-02-19,17
2022-02-20,17
2022-02-21,17
2022-02-22,18
2022-02-23,18
2022-02-24,17
2022-02-25,17
2022-02-26,16
2022-02-27,16
2022-02-28,17
2022-03-01,18
2022-03-02,18
2022-03-03,19
2022-03-04,20
2022-03-05,22
2022-03-06,20
2022-03-07,22
2022-03-08,22
2022-03-09,23
2022-03-10,24
2022-03-11,23
2022-03-12,24
2022-03-13,24
2022-03-14,23
2022-03-15,23
2022-03-16,23
2022-03-17,25
2022-03-18,24
2022-03-19,24
2022-03-20,23
2022-03-21,23
2022-03-22,23
2022-03-23,21
2022-03-24,22
2022-03-25,20
2022-03-26,21
2022-03-27,21
2022-03-28,21
2022-03-29,22
2022-03-30,22
2022-03-31,22
2022-04-01,20
2022-04-02,20
2022-04-03,21
2022-04-04,20
2022-04-05,20
2022-04-06,20
2022-04-07,18
2022-04-08,17
2022-04-09,19
2022-04-10,19
2022-04-11,19
2022-04-12,18
2022-04-13,18
2022-04-14,18
2022-04-15,19
2022-04-16,19
2022-04-17,18
2022-04-18,18
2022-04-19,19
2022-04-20,19
2022-04-21,19
2022-04-22,19
2022-04-23,19
2022-04-24,20
2022-04-25,19
2022-04-26,18
2022-04-27,18
2022-04-28,17
2022-04-29,17
2022-04-30,19
2022-05-01,20
2022-05-02,20
2022-05-03,19
2022-05-04,18
2022-05-05,18
2022-05-06,17
2022-05-07,18
2022-05-08,17
2022-05-09,17
2022-05-10,15
2022-05-11,14
2022-05-12,14
2022-05-13,14
2022-05-14,15
2022-05-15,15
2022-05-16,14
2022-05-17,14
2022-05-18,14
2022-05-19,13
2022-05-20,11
2022-05-21,12
2022-05-22,11
2022-05-23,11
2022-05-24,13
2022-05-25,13
2022-05-26,13
2022-05-27,13
2022-05-28,15
2022-05-29,15
2022-05-30,15
2022-05-31,11
